,titulares,medio,titular_lem
0,"dinamarca, del drama y el susto de christian eriksen a la alegría por meterse en octavos de final de la eurocopa ",clarin,dinamarca drama susto christian eriksen alegría meter octavo final eurocopa
1,"biocombustibles: contra reloj, el kirchnerismo avanza con la nueva ley, aunque hay malestar en sus propias filas ",clarin,biocombustible reloj kirchnerismo avanzar nuevo ley aunque haber malestar propio fila
2,"coronavirus en estados unidos: nueva york, entre fuegos artificiales por la reapertura y las sombras de la crisis ",clarin,coronaviru estado unido nuevo york fuego artificial reapertura sombra crisis
3,aerolíneas argentinas comienza a vacunar y se desactiva el conflicto con los pilotos ,clarin,aerolínea argentino comenzar vacunar desactivar conflicto piloto
4,smart tv: los 5 aspectos técnicos claves a la hora de comprar un televisor inteligente ,clarin,smart tv 5 aspecto técnico clave hora comprar televisor inteligente
5,"quieren cancelar a billie eilish, a quien acusan de racismo ",clarin,querer cancelar billie eilish acusar racismo
6,por qué es tendencia tener perros pequeños y cómo alimentarlos ,clarin,ser tendencia tener perro pequeño alimentar
7,coronavirus: uruguay volvió a la totalidad de clases presenciales en primaria ,clarin,coronaviru uruguay volver totalidad clase presencial primaria
8,vacunas covid: este lunes llegaron 768.000 dosis de sinopharm y 1.134.000 de astrazeneca ,clarin,vacuna covid lunes llegar 768000 dosis sinopharm 1134000 astrazeneca
9,"finlandia vs bélgica, por la eurocopa 2020: goles, resumen y resultado ",clarin,finlandia vs bélgico eurocopa 2020 gol resumen resultado
10,subastan una pintura de david bowie encontrada en un basural y su precio ya superó cinco veces el esperado ,clarin,subastar pintura david bowie encontrado basural precio ya superar cinco vez esperado
11,habló la mujer que descubrió a alberto samid en un restaurante y lo filmó: 'sentí una tremenda indignación' ,clarin,hablar mujer descubrir alberto samid restaurante filmar ' sentir tremendo indignación '
12,"recambio, socio de su tocayo pérez o el nuevo palacios: qué le aportará enzo fernández a river ",clarin,recambio socio tocayo pérez nuevo palacio aportar enzo fernández river
13,independiente tiene a su primer refuerzo: joaquín laso llegará tras rescindir con rosario central ,clarin,independiente tener primero refuerzo joaquín laso llegar rescindir rosario central
14,"eurocopa 2020: el emotivo retiro de goran pandev, la máxima leyenda de macedonia del norte ",clarin,eurocopa 2020 emotivo retiro goran pandev máximo leyenda macedonio norte
15,covid: la oms advirtió que la variante delta es 'la más rápida' ,clarin,covid oms advertir que variante delta ser ' más rápido '
16,otra fiesta clandestina en palermo: había más de 100 personas bailando en la terraza de un bar ,clarin,fiesta clandestino paler mo haber más 100 persona bailar terraza bar
17,justicia para la princesa leia: carrie fisher tendrá su estrella en el paseo de la fama ,clarin,justicia princesa leio carrie fisher tener estrella paseo fama
18,michele bachelet se refirió a un informe sobre las medidas de aislamiento implementadas por gildo insfrán,clarin,michele bachel referir informe medida aislamiento implementado gildo insfrán
19,luciana salazar habló del departamento por el que pagaría 9 mil u$s de alquiler y casi 200 mil $ de expensas ,clarin,luciana salazar hablar departamento pagar 9 mil u$s alquiler casi 200 mil $ expensas
20,"daniel capitanich, el embajador en nicaragua que estuvo siempre a la sombra de su hermano y es admirador de cristina kirchner ",clarin,daniel capitanich embajador nicaragua estar siempre sombra hermano ser admirador cristina kirchner
21,la justicia de brasil absolvió a lula da silva en uno de los casos de corrupción ,clarin,justicia brasil absolver lula dar silva caso corrupción
22,coronavirus en argentina: confirman 8.606 nuevos casos y otras 448 muertes en las últimas 24 horas ,clarin,coronaviru argentino confirmar 8606 nuevo caso 448 muerte último 24 hora
23,la trastienda de la movida conjunta entre alberto fernández y méxico para subir el tono contra los abusos de daniel ortega ,clarin,trastienda movido conjunto alberto fernández méxico subir tono abuso daniel ortega
24,carlos reutemann presentó un 'deterioro' en su estado de salud y fue derivado a terapia intensiva ,clarin,car reutemann presentar ' deterioro ' estado salud ser derivado terapia intensivo
25,"un técnico de heladeras que chocó con su moto, el primer beneficiario del subsidio para víctimas de tránsito ",clarin,técnico heladera chocar moto primero beneficiario subsidio víctima tránsito
26,pachu peña y el día que no le quisieron tomar fotos en su casa porque 'no daba con el perfil de la revista' ,clarin,pachu peña día no querer tomar foto casa porque ' no dar perfil revista '
27,los mercados europeos y wall street se recuperan tras los anuncios de la reserva federal ,clarin,mercado europeo wall street recuperar anuncio reserva federal
28,"murió por coronavirus juan carlos lópez, histórico maquillador de susana giménez ",clarin,morir coronaviru juan carlo lópez histórico maquillador susana giménez
29,joaquin phoenix vuelve a filmar con su pareja y ganará millones de dólares con lo nuevo de guasón ,clarin,joaquin phoenix volver filmar pareja ganar millón dólar nuevo guasón
30,reino unido ya prueba la tercera dosis de astrazeneca contra el covid: ¿habrá que dársela también acá? ,clarin,reino unido ya probar tercero dosis astrazeneca covid haber que darselar también
31,estuvieron presas tres años y medio por el crimen de una anciana en un cementerio: las absolvieron ,clarin,estar preso tres año medio crimen anciana cementerio absolver
32,vacuna butanvac: brasil emprende una frenética carrera para conseguir 20 millones de huevos ,clarin,vacuna butanvo brasil emprender frenético carrera conseguir 20 millón huevo
33,escándalo con alberto samid porque violó la prisión domiciliaria y fue a comer a un restaurante ,clarin,escandar alberto samid porque violar prisión domiciliario ser comer restaurante
34,cuatro años de prisión para un personal trainer que contactó a un chico de 11 años por instagram para tener un encuentro sexual ,clarin,cuatro año prisión personal trainer contactar chico 11 año instagram tener encuentro sexual
35,el escándalo de chile en la copa américa: se filtró el video que muestra cómo rompieron la burbuja ,clarin,escándalo chile copa américo filtrar video mostrar romper burbuja
36,el atentado en el concierto de ariana grande en manchester se pudo haber evitado ,clarin,atentado concierto ariana grande manchester poder haber evitar
37,"por primera vez desde 1958, cae un gobierno en suecia por una moción de censura ",clarin,primero vez 1958 caer gobierno suecia moción censura
38,aguinaldo: cómo hacen las pymes para pagarlo ,clarin,aguinaldo hacer pyme pagar
39,china bloquea al 90% de los mineros de bitcoin con nuevas prohibiciones ,clarin,chino bloquear 90 minero bitcoin nuevo prohibición
40, carla vizzotti afirmó que no hay una fecha límite para completar el esquema de inmunización,clarin,carla vizzotti afirmar que no haber fecha límite completar esquema inmunización
41,boca sigue buscando delanteros para recuperar los 41 goles que perdió en los últimos meses ,clarin,boca seguir buscar delantero recuperar 41 gol perder último mes
42,eeuu detalló a qué países de latinoamérica van sus vacunas contra el coronavirus: entre ellos está la argentina ,clarin,eeuu detallar país latinoamérica ir vacuna coronaviru estar argentino
